name,description,start_date,end_date,status
Sistema de Inventario,Desarrollo de un sistema web para control de inventario,2025-01-15,2025-05-30,Finalizado
Rediseño Web Corporativa,Actualizar el sitio web institucional de la empresa,2025-03-01,2025-06-15,En progreso
App Móvil Clientes,Aplicación móvil para clientes con acceso a pedidos,2025-02-10,2025-08-01,En progreso
Dashboard de Ventas,Visualización de datos de ventas en tiempo real,2025-04-05,2025-07-25,Finalizado
Automatización de Nómina,Script automatizado para generación de nómina,2025-01-20,2025-03-10,Finalizado
Sistema de Tickets,Plataforma interna de soporte técnico y tickets,2025-05-01,2025-09-15,Pendiente
Integración API Externa,Conexión con servicio externo de pagos,2025-06-10,2025-08-20,En progreso
Gestión Documental,Repositorio interno de documentos legales y administrativos,2025-02-01,2025-04-30,Finalizado
Plataforma E-learning,Desarrollo de cursos internos para empleados,2025-03-20,2025-07-01,En progreso
Sistema de Evaluaciones,Herramienta para evaluar el rendimiento del personal,2025-04-15,2025-08-10,En progreso
